specimen_idx,specimen_seed,num_nodes,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score
1,671155,80,tau_w,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,tau_w,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,a,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,b,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,v_scale,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_off,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,R_on,-30.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,5.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,-5.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,10.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,-10.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,20.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,-20.0,down,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,30.0,up,0.5,0.5,0.0,0.5,0.0
1,671155,80,alpha,-30.0,down,0.5,0.5,0.0,0.5,0.0
2,131932,80,none,0.0,none,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_v,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,tau_w,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,a,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,b,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,v_scale,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,-5.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,10.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,-10.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,20.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,-20.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,30.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_off,-30.0,down,0.75,0.75,0.0,0.75,0.0026150947331622376
2,131932,80,R_on,5.0,up,0.75,0.75,0.0,0.75,0.0026150947331622376
